Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
2087,MITSUBISHI,C12,1984,1500,Manual,Petrol,451000,Marawila,1/12/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,13
2088,MITSUBISHI,C12,1985,1500,Manual,Petrol,440000,Bandaragama,1/25/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,7.45
2089,MITSUBISHI,C12,1990,1500,Manual,Petrol,385000,Colombo,1/21/2025,No Leasing,USED,Available,Available,Available,Available,11.35
2090,MITSUBISHI,C12,1987,1500,Manual,Petrol,418000,Kurunegala,12/30/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,8.5
2091,MITSUBISHI,C12,1985,1500,Manual,Petrol,440000,Piliyandala,12/10/2024,No Leasing,USED,Available,Not_Available,Available,Not_Available,7.45
2092,MITSUBISHI,C12,1986,1500,Manual,Petrol,429000,Gampaha,12/5/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,9.5
2093,MITSUBISHI,C12 HATCHBACK,1985,1500,Manual,Petrol,440000,Bandarawela,1/19/2025,No Leasing,USED,Available,Not_Available,Available,Not_Available,8.7
2094,MITSUBISHI,C12V,1985,1500,Manual,Petrol,440000,Kandy,1/11/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,6
2095,MITSUBISHI,CB2,1994,1500,Manual,Petrol,341000,Bandaragama,1/24/2025,No Leasing,USED,Available,Available,Not_Available,Available,27
2096,MITSUBISHI,CB8,1992,2000,Manual,Diesel,363000,Colombo,1/6/2025,No Leasing,USED,Available,Available,Not_Available,Available,25.85
2097,MITSUBISHI,CK2,1996,1500,Manual,Petrol,319000,Gampaha,12/10/2024,No Leasing,USED,Available,Available,Not_Available,Available,29.9
2098,MITSUBISHI,CK2A,1999,1500,Automatic,Petrol,286000,Colombo,1/24/2025,No Leasing,USED,Available,Available,Available,Available,38
2099,MITSUBISHI,COLT,1980,1400,Manual,Petrol,495000,Kandy,2/2/2025,No Leasing,USED,Not_Available,Not_Available,Available,Not_Available,5.8
2100,MITSUBISHI,COLT,2004,1300,Automatic,Petrol,231000,Panadura,1/9/2025,No Leasing,USED,Available,Available,Available,Available,36.15
2101,MITSUBISHI,COLT,2008,1330,Automatic,Petrol,187000,Colombo,1/6/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,34
2102,MITSUBISHI,COLT,1969,1100,Manual,Petrol,616000,Avissawella,1/1/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,10
2103,MITSUBISHI,COLT,1979,1400,Manual,Petrol,506000,Colombo,12/22/2024,No Leasing,USED,Not_Available,Not_Available,Available,Not_Available,3.25
2104,MITSUBISHI,COLT,2007,1400,Automatic,Petrol,198000,Maharagama,12/11/2024,No Leasing,USED,Available,Available,Available,Available,38
2105,MITSUBISHI,CS3,2011,1584,Automatic,Petrol,154000,Kalutara,1/26/2025,No Leasing,USED,Available,Available,Available,Available,71.5
2106,MITSUBISHI,CS3,2004,1500,Automatic,Petrol,231000,Kiribathgoda,12/30/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,48
2107,MITSUBISHI,EK WAGON,2016,660,Automatic,Petrol,99000,Kandy,2/2/2025,No Leasing,USED,Available,Available,Available,Available,56.75
2108,MITSUBISHI,EK WAGON,2017,650,Automatic,Petrol,88000,Kandy,2/2/2025,No Leasing,USED,Available,Available,Available,Available,57
2109,MITSUBISHI,EK WAGON,2017,660,Automatic,Petrol,88000,Kottawa,1/15/2025,No Leasing,USED,Available,Available,Available,Available,57
2110,MITSUBISHI,EK WAGON,2018,650,Automatic,Petrol,77000,Matara,1/20/2025,No Leasing,USED,Available,Available,Available,Available,61.15625
2111,MITSUBISHI,EK WAGON B11W,2018,650,Automatic,Petrol,77000,Kiribathgoda,1/22/2025,No Leasing,USED,Available,Available,Available,Available,62
2112,MITSUBISHI,EK WAGON CUSTOM,2016,650,Automatic,Petrol,99000,Gampola,2/4/2025,Ongoing Lease,USED,Available,Available,Available,Available,62
2113,MITSUBISHI,EK WAGON CUSTOM,2016,650,Automatic,Petrol,99000,Gampaha,1/31/2025,No Leasing,USED,Available,Available,Available,Available,62
2114,MITSUBISHI,EK WAGON CUSTOM,2016,650,Automatic,Petrol,99000,Gampola,1/22/2025,Ongoing Lease,USED,Available,Available,Available,Available,62
2115,MITSUBISHI,EK WAGON CUSTOM DAYZ,2015,660,Automatic,Petrol,110000,Gampaha,2/5/2025,No Leasing,USED,Available,Available,Available,Available,61.5
2116,MITSUBISHI,EVOLUTION 4,2000,2000,Manual,Petrol,275000,,1/13/2025,No Leasing,USED,Not_Available,Not_Available,Available,Available,59.5
2117,MITSUBISHI,GALANT,2006,2000,Automatic,Petrol,209000,Kurunegala,2/1/2025,No Leasing,USED,Available,Available,Not_Available,Available,40
2118,MITSUBISHI,GALANT,2000,2000,Manual,Diesel,275000,Nugegoda,1/31/2025,Ongoing Lease,USED,Available,Available,Available,Available,33.5
2119,MITSUBISHI,GALANT,1985,1500,Manual,Petrol,440000,Gampaha,1/30/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,4.75
2120,MITSUBISHI,GALANT,2006,2000,Automatic,Petrol,209000,Kurunegala,1/18/2025,No Leasing,USED,Available,Available,Available,Available,40
2121,MITSUBISHI,GALANT,2000,2000,Manual,Diesel,275000,Colombo,1/13/2025,No Leasing,USED,Available,Available,Available,Available,45
2122,MITSUBISHI,GALANT,1987,1500,Manual,Petrol,418000,Kandy,1/11/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,4.5
2123,MITSUBISHI,GALANT,2003,2000,Automatic,Petrol,242000,Kotte,1/10/2025,No Leasing,USED,Available,Available,Available,Available,34
